Model unknown

  Variables:
    x : Size=38080, Index=x_index
        Key                                : Lower : Value : Upper : Fixed : Stale : Domain
                  ('45', 'Goe', 'GPG', 14) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GPG', 15) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GPG', 16) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GPG', 17) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GPG', 18) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GPG', 19) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GPG', 20) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GPG', 21) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GPG', 22) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GPG', 23) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GPG', 24) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GPG', 25) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GPG', 26) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GPG', 27) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GPG', 28) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GPG', 29) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GPG', 30) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GPG', 31) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GPG', 32) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GPG', 33) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GPG', 34) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GPG', 35) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GPG', 36) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GPG', 37) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GPG', 38) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GPG', 39) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GPG', 40) :     0 :  None :     1 : False :  True : Boolean
                   ('45', 'Goe', 'GSE', 1) :     0 :  None :     1 : False :  True : Boolean
                   ('45', 'Goe', 'GSE', 2) :     0 :  None :     1 : False :  True : Boolean
                   ('45', 'Goe', 'GSE', 3) :     0 :  None :     1 : False :  True : Boolean
                   ('45', 'Goe', 'GSE', 4) :     0 :  None :     1 : False :  True : Boolean
                   ('45', 'Goe', 'GSE', 5) :     0 :  None :     1 : False :  True : Boolean
                   ('45', 'Goe', 'GSE', 6) :     0 :  None :     1 : False :  True : Boolean
                   ('45', 'Goe', 'GSE', 7) :     0 :  None :     1 : False :  True : Boolean
                   ('45', 'Goe', 'GSE', 8) :     0 :  None :     1 : False :  True : Boolean
                   ('45', 'Goe', 'GSE', 9) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 10) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 11) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 12) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 13) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 14) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 15) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 16) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 17) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 18) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 19) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 20) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 21) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 22) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 23) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 24) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 25) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 26) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 27) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'GSE', 28) :     0 :  None :     1 : False :  True : Boolean
